id,mutation,file,test,inner_id,status,language,start,end,mutatorName,replacement,Duration
0,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 253) : Replaced > with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_gt_to_ge,Survived on 2nd pass. Was Survived on 1st pass,cpp,253:15,253:16,Replaced > with >=,>=,1.6321160793304443
1,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 253) : Replaced > with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_gt_to_le,Survived on 2nd pass. Was Survived on 1st pass,cpp,253:15,253:16,Replaced > with <=,<=,1.5019609928131104
2,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 258) : Replaced < with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_lt_to_ge,Test failed or aborted on 2nd pass with error code: -6. Was Test failed or aborted on 1st pass with error code: -6,cpp,258:15,258:16,Replaced < with >=,>=,1.4698269367218018
3,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 258) : Replaced < with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_le,Survived on 2nd pass. Was Survived on 1st pass,cpp,258:15,258:16,Replaced < with <=,<=,1.436636209487915
4,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1580) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_add_to_sub,Survived on 2nd pass. Was Survived on 1st pass,cpp,1580:18,1580:19,Replaced + with -,-,1.4398787021636963
5,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1580) : Replaced - with +,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_sub_to_add,Survived on 2nd pass. Was Survived on 1st pass,cpp,1580:30,1580:31,Replaced - with +,+,1.4298570156097412
6,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1580) : Replaced - with +,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_sub_to_add,Survived on 2nd pass. Was Survived on 1st pass,cpp,1580:49,1580:50,Replaced - with +,+,1.4329802989959717
7,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1583) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_add_to_sub,Survived on 2nd pass. Was Survived on 1st pass,cpp,1583:30,1583:31,Replaced + with -,-,1.5089037418365479
8,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1584) : Replaced == with !=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,test,cxx_eq_to_ne,Test failed or aborted on 2nd pass with error code: -6. Was Test failed or aborted on 1st pass with error code: -6,cpp,1584:14,1584:16,Replaced == with !=,!=,1.3973240852355957
9,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1589) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_add_to_sub,Survived on 2nd pass. Was Survived,cpp,1589:40,1589:41,Replaced + with -,-,1.6038463115692139
10,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1589) : Replaced + with -,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_add_to_sub,Survived on 2nd pass. Was Survived,cpp,1589:52,1589:53,Replaced + with -,-,1.6026830673217773
11,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1589) : Replaced - with +,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_sub_to_add,Survived on 2nd pass. Was Survived,cpp,1589:69,1589:70,Replaced - with +,+,1.6707699298858643
12,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1589) : Replaced - with +,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_sub_to_add,Survived on 2nd pass. Was Survived,cpp,1589:88,1589:89,Replaced - with +,+,1.64739990234375
13,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1603) : Replaced <= with >,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_le_to_gt,Survived on 2nd pass. Was Survived,cpp,1603:11,1603:13,Replaced <= with >,>,1.6695361137390137
14,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1603) : Replaced <= with <,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_le_to_lt,Survived on 2nd pass. Was Survived,cpp,1603:11,1603:13,Replaced <= with <,<,1.6692261695861816
15,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1604) : Replaced < with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_ge,Survived on 2nd pass. Was Survived,cpp,1604:27,1604:28,Replaced < with >=,>=,1.6067190170288086
16,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1604) : Replaced < with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_le,Survived on 2nd pass. Was Survived,cpp,1604:27,1604:28,Replaced < with <=,<=,1.6013391017913818
17,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1604) : Replaced ++x with --x,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_pre_inc_to_pre_dec,Survived on 2nd pass. Was Survived,cpp,1604:42,1604:44,Replaced ++x with --x,--,1.6364967823028564
18,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1605) : Replaced == with !=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_eq_to_ne,Survived on 2nd pass. Was Survived,cpp,1605:68,1605:70,Replaced == with !=,!=,1.6639668941497803
19,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1606) : Replaced == with !=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_eq_to_ne,Survived on 2nd pass. Was Survived,cpp,1606:32,1606:34,Replaced == with !=,!=,1.8863012790679932
20,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1622) : Replaced < with >=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_ge,Survived on 2nd pass. Was Survived,cpp,1622:23,1622:24,Replaced < with >=,>=,1.6134757995605469
21,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1622) : Replaced < with <=,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_lt_to_le,Survived on 2nd pass. Was Survived,cpp,1622:23,1622:24,Replaced < with <=,<=,1.6063320636749268
22,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp (Line 1622) : Replaced ++x with --x,/Users/smadadi/Projects/halide_16_for_llvm14/apps/blur/mutation/halide_blur.halide_generated.cpp,,cxx_pre_inc_to_pre_dec,Survived on 2nd pass. Was Survived,cpp,1622:38,1622:40,Replaced ++x with --x,--,1.5883889198303223
