app,op_id,file,line,column,target,stage_compile,stage_genlink,stage_generate,note
bgu,halide_arith_swap,bgu_generator.cpp,499,52,operator+ -> operator*,OK,OK,GEN_ERROR,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
bgu,halide_arith_swap,bgu_generator.cpp,499,52,operator+ -> operator/,OK,OK,GEN_ERROR,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
bgu,halide_arith_swap,bgu_generator.cpp,499,48,operator* -> operator+,OK,OK,GEN_ERROR,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
bgu,halide_arith_swap,bgu_generator.cpp,499,48,operator* -> operator-,OK,OK,GEN_ERROR,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
bgu,halide_arith_swap,bgu_generator.cpp,499,48,operator* -> operator/,OK,OK,GEN_ERROR,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
bgu,halide_arith_swap,bgu_generator.cpp,500,48,operator* -> operator+,OK,OK,GEN_ERROR,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
bgu,halide_arith_swap,bgu_generator.cpp,500,48,operator* -> operator-,OK,OK,GEN_ERROR,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
bgu,halide_arith_swap,bgu_generator.cpp,500,48,operator* -> operator/,OK,OK,GEN_ERROR,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
bgu,halide_arith_swap,bgu_generator.cpp,501,52,operator+ -> operator*,OK,OK,GEN_ERROR,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
bgu,halide_arith_swap,bgu_generator.cpp,501,52,operator+ -> operator/,OK,OK,GEN_ERROR,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
bgu,halide_arith_swap,bgu_generator.cpp,501,48,operator* -> operator+,OK,OK,GEN_ERROR,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
stencil_chain,halide_arith_swap,stencil_chain_generator.cpp,27,64,operator+ -> operator*,OK,OK,GEN_TIMEOUT,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
stencil_chain,halide_arith_swap,stencil_chain_generator.cpp,27,64,operator+ -> operator/,OK,OK,GEN_TIMEOUT,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
stencil_chain,halide_arith_swap,stencil_chain_generator.cpp,27,71,operator+ -> operator*,OK,OK,GEN_TIMEOUT,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
stencil_chain,halide_arith_swap,stencil_chain_generator.cpp,27,71,operator+ -> operator/,OK,OK,GEN_TIMEOUT,"the mutated generator did not produce a pipeline; never became a runnable mutant, so it is NOT scored as a test kill"
