app,route,target_kind,mutant_uid,op_id,file,line,column,target,ordinal_this_run,stage_compile,stage_genlink,stage_generate,stage_link,tce_lib,stmt_sha,stmt_differs,equivalent,test1_demo,test2_added,test2_method,test3_perf,killed_by,exit_code,wall_seconds,perf_median,artifact_digest,tool_id,note
blur,ast_mutator,generator,1bb85ab053a7bee3,halide_arith_swap,halide_blur_generator.cpp,39,55,operator+ -> operator*,m005_halide_arith_swap_operator_mul,OK,OK,OK,OK,9e7f89a0faa1759f,d51d7c4937d1ba92,1,,KILLED,KILLED,output_compare,,test1_demo;test2_added,-6,0.571,,721ea95fc69638c5,50e3753d90ef,
blur,ast_mutator,generator,b345b15bdb1f6f2b,halide_arith_swap,halide_blur_generator.cpp,39,74,operator/ -> operator*,m003_halide_arith_swap_operator_mul,OK,OK,OK,OK,f706d826a8ce4cbf,793c7fae6bc94a97,1,,KILLED,KILLED,output_compare,,test1_demo;test2_added,-6,1.722,,4b0d0234d2607416,50e3753d90ef,
blur,ast_mutator,generator,c02ce23de6c8b2a2,halide_arith_swap,halide_blur_generator.cpp,39,55,operator+ -> operator-,m004_halide_arith_swap_operator_sub,OK,OK,OK,OK,eaf23239f5a4ac47,b506f9edfe1cc070,1,,KILLED,KILLED,output_compare,,test1_demo;test2_added,-6,0.569,,8552d216c60b0223,50e3753d90ef,
blur,ast_mutator,generator,37c3ce01012ba9bd,halide_arith_swap,halide_blur_generator.cpp,39,74,operator/ -> operator-,m002_halide_arith_swap_operator_sub,OK,OK,OK,OK,ed842aaaa293cf27,69514b6b7315afcd,1,,KILLED,KILLED,output_compare,,test1_demo;test2_added,-6,0.827,,61e6991e8f7fa54b,50e3753d90ef,
blur,ast_mutator,generator,cf2a3bc77ca5ea9d,halide_arith_swap,halide_blur_generator.cpp,39,55,operator+ -> operator/,m006_halide_arith_swap_operator_div,OK,OK,OK,OK,dccad0e2319d9769,67915bb7707437a0,1,,KILLED,KILLED,output_compare,,test1_demo;test2_added,-6,1.978,,c74958f72f584ac4,50e3753d90ef,
blur,ast_mutator,generator,b14c7b05b38040cd,halide_arith_swap,halide_blur_generator.cpp,39,74,operator/ -> operator+,m001_halide_arith_swap_operator_add,OK,OK,OK,OK,86fd15bcef9a0107,85368ddc0ff9a521,1,,KILLED,KILLED,output_compare,,test1_demo;test2_added,-6,1.406,,0b3a0294622474a4,50e3753d90ef,
blur,ast_mutator,generator,b5c3e73fbc0e8ae4,halide_arith_swap,halide_blur_generator.cpp,39,37,operator+ -> operator-,m007_halide_arith_swap_operator_sub,OK,OK,OK,OK,483b10f45da3afd5,5b8ad6a242c1a6bd,1,,KILLED,KILLED,output_compare,,test1_demo;test2_added,-6,1.183,,005b6aab5e22e7cf,50e3753d90ef,
blur,ast_mutator,generator,f0255d72610e3b92,halide_arith_swap,halide_blur_generator.cpp,39,47,operator+ -> operator-,m010_halide_arith_swap_operator_sub,OK,OK,OK,OK,d080afc550e3305a,655b0700b13c85df,1,,KILLED,NOT_RUN,output_compare,,test1_demo,-6,1.195,,,50e3753d90ef,"golden driver exited -6, wrote no artifact -- test1 kill only, not a test2 kill"
blur,ast_mutator,generator,2be6ad3b1941cb5b,halide_arith_swap,halide_blur_generator.cpp,39,47,operator+ -> operator*,m011_halide_arith_swap_operator_mul,OK,OK,OK,OK,b13155df945eb7f3,20c79aa713dc1f59,1,,KILLED,KILLED,output_compare,,test1_demo;test2_added,-6,1.115,,61fd4fe4015badc2,50e3753d90ef,
blur,ast_mutator,generator,a9a261967e297ddd,halide_arith_swap,halide_blur_generator.cpp,39,37,operator+ -> operator*,m008_halide_arith_swap_operator_mul,OK,OK,OK,OK,423918cdbbf3ea5d,3dc2608bf49253a2,1,,KILLED,KILLED,output_compare,,test1_demo;test2_added,-6,0.565,,9ae8eeb279705e68,50e3753d90ef,
blur,ast_mutator,generator,0576f6f2ade13087,halide_arith_swap,halide_blur_generator.cpp,39,37,operator+ -> operator/,m009_halide_arith_swap_operator_div,OK,OK,OK,OK,3874d0bde0b991d1,5ffc0025b32f2fd7,1,,KILLED,KILLED,output_compare,,test1_demo;test2_added,-6,1.540,,7d0436c6d8c7556f,50e3753d90ef,
