app,route,target_kind,mutant_uid,op_id,file,line,column,target,ordinal_this_run,stage_compile,stage_genlink,stage_generate,stage_link,tce_lib,stmt_sha,stmt_differs,equivalent,test1_demo,test2_added,test2_method,test3_perf,killed_by,exit_code,wall_seconds,perf_median,artifact_digest,tool_id,note
depthwise_separable_conv,ast_mutator,generator,080be97035aa844f,halide_rel_swap,depthwise_separable_conv_generator.cpp,36,29,operator>= -> operator<,m001_halide_rel_swap_operator_lt,OK,OK,OK,OK,aa47032c412c09f8,8ca80c64f30a9bc9,1,,SURVIVED,KILLED,output_compare,,test2_added,0,0.237,,12ee0736c6e7148d,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,d4b5d571eea120bd,halide_rel_swap,depthwise_separable_conv_generator.cpp,36,29,operator>= -> operator==,m004_halide_rel_swap_operator_eq_eq,OK,OK,OK,OK,4ceb4e4753ed4dd1,db49f87f22c8a1c8,1,,SURVIVED,KILLED,output_compare,,test2_added,0,0.769,,a123b5df39091a97,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,c491551b48a01a8d,halide_rel_swap,depthwise_separable_conv_generator.cpp,36,29,operator>= -> operator!=,m005_halide_rel_swap_operator_not_eq,OK,OK,OK,OK,3c7b7f8d7cb14a24,67300bb5e736090d,1,,SURVIVED,KILLED,output_compare,,test2_added,0,1.123,,7ecf904ecd7ed289,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,3a2eb4955927fa49,halide_rel_swap,depthwise_separable_conv_generator.cpp,36,29,operator>= -> operator<=,m002_halide_rel_swap_operator_lt_eq,OK,OK,OK,OK,d0111cfdd95d90bd,cf0d88adffa200e0,1,,SURVIVED,KILLED,output_compare,,test2_added,0,0.925,,966825ccac4d05ae,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,14fbdd738649ef69,halide_rel_swap,depthwise_separable_conv_generator.cpp,36,29,operator>= -> operator>,m003_halide_rel_swap_operator_gt,OK,OK,OK,OK,32c174aef593fe55,4bc6c26bdca1da32,1,,SURVIVED,KILLED,output_compare,,test2_added,0,0.632,,4e0bd0f4c63dcf66,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,3d8695a6bbc29bd0,halide_rel_swap,depthwise_separable_conv_generator.cpp,36,39,operator< -> operator<=,m006_halide_rel_swap_operator_lt_eq,OK,OK,OK,OK,858e0326d4abe18f,e006f231b1ea26e7,1,,SURVIVED,KILLED,output_compare,,test2_added,0,1.138,,65c4fbef3bfc2914,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,717ea9377d0d5748,halide_rel_swap,depthwise_separable_conv_generator.cpp,36,39,operator< -> operator>=,m008_halide_rel_swap_operator_gt_eq,OK,OK,OK,OK,6d50f0851dcd37cd,8bbd1f7d7906bf33,1,,SURVIVED,KILLED,output_compare,,test2_added,0,0.235,,8bbcf569027e1362,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,0c3fa4f1fc04ec68,halide_rel_swap,depthwise_separable_conv_generator.cpp,36,39,operator< -> operator>,m007_halide_rel_swap_operator_gt,OK,OK,OK,OK,c604596b45a3336f,4c4ba29091cea851,1,,SURVIVED,KILLED,output_compare,,test2_added,0,0.627,,1f6c5414995d64ad,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,cdd67c7b1de010cd,halide_rel_swap,depthwise_separable_conv_generator.cpp,36,39,operator< -> operator==,m009_halide_rel_swap_operator_eq_eq,OK,OK,OK,OK,e8c51e88633a3693,be97e32a39aa6750,1,,SURVIVED,KILLED,output_compare,,test2_added,0,0.661,,8bbcf569027e1362,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,38fc66a77bfe7ecf,halide_rel_swap,depthwise_separable_conv_generator.cpp,37,29,operator>= -> operator<,m011_halide_rel_swap_operator_lt,OK,OK,OK,OK,61d2337776e7bc6c,7feb29dd3534e7e0,1,,SURVIVED,KILLED,output_compare,,test2_added,0,0.615,,488374f10cb40fca,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,f51a6f22c88b020f,halide_rel_swap,depthwise_separable_conv_generator.cpp,36,39,operator< -> operator!=,m010_halide_rel_swap_operator_not_eq,OK,OK,OK,OK,50de3f619371b83d,1bf93c3cb428a027,1,,SURVIVED,SURVIVED,output_compare,,,0,0.964,,d5e3fe608e027f18,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,6b8d68250576ea1e,halide_rel_swap,depthwise_separable_conv_generator.cpp,37,29,operator>= -> operator>,m013_halide_rel_swap_operator_gt,OK,OK,OK,OK,1961deec07d3eebb,7d4bff0e9c6ca668,1,,SURVIVED,KILLED,output_compare,,test2_added,0,0.513,,833d00b763f8eee4,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,580a69973a704ff5,halide_rel_swap,depthwise_separable_conv_generator.cpp,37,29,operator>= -> operator!=,m015_halide_rel_swap_operator_not_eq,OK,OK,OK,OK,224861f57e4ee945,bc1d54688a595703,1,,SURVIVED,KILLED,output_compare,,test2_added,0,1.230,,76ade981f90fabd7,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,d1b989ede3fe1451,halide_rel_swap,depthwise_separable_conv_generator.cpp,37,29,operator>= -> operator==,m014_halide_rel_swap_operator_eq_eq,OK,OK,OK,OK,17422c1dbdb2b97f,c331a888dabebc74,1,,SURVIVED,KILLED,output_compare,,test2_added,0,1.029,,e9dc79b23ee8f5a5,50e3753d90ef,
depthwise_separable_conv,ast_mutator,generator,59853de922f9589e,halide_rel_swap,depthwise_separable_conv_generator.cpp,37,29,operator>= -> operator<=,m012_halide_rel_swap_operator_lt_eq,OK,OK,OK,OK,3267f3fa0e50ecdb,ba5ed7b8eb9c4f79,1,,SURVIVED,KILLED,output_compare,,test2_added,0,0.351,,88aef1db8f9ceb73,50e3753d90ef,
