app,route,mutant_uid,op_id,file,line,column,target,ordinal_this_run,stage_compile,tce,stage_link,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,resolved,resolution,exit_code,wall_seconds,perf_median,artifact_digest,note
fft,ast_emitted,3ec9b046f7777642,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,183,29,operator== -> operator<,m001_cxx_rel_swap_operator_lt,COMPILE_FAIL,,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,0,,,,,,"the compiler rejected the mutant -- a kill category only staged compilation produces, not a test kill"
fft,ast_emitted,8b5bc0d3efc8bf66,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,196,14,operator!= -> operator<,m006_cxx_rel_swap_operator_lt,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,0c9081c31ffc0cbf,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,183,29,operator== -> operator!=,m005_cxx_rel_swap_operator_not_eq,COMPILE_FAIL,,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,0,,,,,,"the compiler rejected the mutant -- a kill category only staged compilation produces, not a test kill"
fft,ast_emitted,304b284212d5b85f,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,196,14,operator!= -> operator<=,m007_cxx_rel_swap_operator_lt_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,31a89208aa9b0698,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,183,29,operator== -> operator>,m003_cxx_rel_swap_operator_gt,COMPILE_FAIL,,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,0,,,,,,"the compiler rejected the mutant -- a kill category only staged compilation produces, not a test kill"
fft,ast_emitted,3f6caa0e61f6f6e3,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,183,29,operator== -> operator<=,m002_cxx_rel_swap_operator_lt_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,da4a5576986a1cd9,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,183,29,operator== -> operator>=,m004_cxx_rel_swap_operator_gt_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,4d61f7c890039dd5,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,196,14,operator!= -> operator>,m008_cxx_rel_swap_operator_gt,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,f15c17354a9a7483,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,199,16,operator- -> operator+,m011_cxx_arith_swap_operator_add,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,87dc98b089822acf,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,196,14,operator!= -> operator>=,m009_cxx_rel_swap_operator_gt_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,5f3eff409f2d077f,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,196,14,operator!= -> operator==,m010_cxx_rel_swap_operator_eq_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,0335549d9c4249f9,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,199,16,operator- -> operator*,m012_cxx_arith_swap_operator_mul,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,00f90f6856456619,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,199,16,operator- -> operator/,m013_cxx_arith_swap_operator_div,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,e2c2a39089dca659,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,230,29,operator- -> operator*,m015_cxx_arith_swap_operator_mul,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,4eaa2ad506e8c1ec,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,230,25,operator* -> operator/,m019_cxx_arith_swap_operator_div,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,209470f0ac5b6211,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,230,29,operator- -> operator/,m016_cxx_arith_swap_operator_div,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,ad18b58fa7077099,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,230,29,operator- -> operator+,m014_cxx_arith_swap_operator_add,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,a3cd5bb8d8138851,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,16,operator>= -> operator<,m020_cxx_rel_swap_operator_lt,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,13a36103b25e221d,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,230,25,operator* -> operator-,m018_cxx_arith_swap_operator_sub,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,3e63dd979148b8e1,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,16,operator>= -> operator<=,m021_cxx_rel_swap_operator_lt_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,a84e28b082f71bb3,cxx_arith_swap,fft_forward_r2c.halide_generated.cpp,230,25,operator* -> operator+,m017_cxx_arith_swap_operator_add,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,c5174d3bf39c2b00,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,46,operator== -> operator<=,m026_cxx_rel_swap_operator_lt_eq,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
fft,ast_emitted,96693921dbd2b838,cxx_rel_swap,fft_forward_r2c.halide_generated.cpp,231,16,operator>= -> operator>,m022_cxx_rel_swap_operator_gt,OK,3b75095243598f60,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,1,equivalent_tce,,,,,bit-identical machine code at -O2: no test can distinguish it
