app,route,target_kind,mutant_uid,op_id,file,line,column,target,ordinal_this_run,stage_compile,stage_genlink,stage_generate,stage_link,tce_lib,stmt_sha,stmt_differs,equivalent,test1_demo,test2_added,test2_method,test3_perf,killed_by,exit_code,wall_seconds,perf_median,artifact_digest,tool_id,note
interpolate,ast_mutator,generator,6fb73e7e123a2e6d,halide_select_to_if_then_else,interpolate_generator.cpp,34,35,Halide::select -> Internal::Call::if_then_else,m005_halide_select_to_if_then_else_if_then_else,OK,OK,OK,OK,91d344a71fbd3219,1531beb3a5da6731,0,tce_lib,NOT_RUN,NOT_RUN,,,,,,,,50e3753d90ef,emitted pipeline is bit-identical machine code: no test can distinguish it
interpolate,ast_mutator,generator,167cd83f47b49b4b,halide_boundary_conditions,interpolate_generator.cpp,32,52,Halide::BoundaryConditions::repeat_edge -> Halide::BoundaryConditions::repeat_image,m001_halide_boundary_conditions_repeat_image,OK,OK,OK,OK,e6d114203e3b2799,076b7d5a31182586,1,,SURVIVED,KILLED,output_compare,,test2_added,0,3.517,,1e437aaae3e27bd0,50e3753d90ef,
interpolate,ast_mutator,generator,88b9faf69e9d4fcf,halide_boundary_conditions,interpolate_generator.cpp,32,52,Halide::BoundaryConditions::repeat_edge -> Halide::BoundaryConditions::mirror_interior,m003_halide_boundary_conditions_mirror_interior,OK,OK,OK,OK,d4c75b3be4ebeee8,71d1cf2c2d37197d,1,,SURVIVED,KILLED,output_compare,,test2_added,0,2.916,,9eedec03b82d8dcf,50e3753d90ef,
interpolate,ast_mutator,generator,4b074944d1a1ac57,halide_boundary_conditions,interpolate_generator.cpp,32,52,Halide::BoundaryConditions::repeat_edge -> Halide::BoundaryConditions::mirror_image,m002_halide_boundary_conditions_mirror_image,OK,OK,OK,OK,279d9c1265acee6f,b51d7a8fdb5e3390,1,,SURVIVED,KILLED,output_compare,,test2_added,0,3.274,,ca8a3cfca5167b5b,50e3753d90ef,
interpolate,ast_mutator,generator,cd8257833087f913,halide_select_arg_swap,interpolate_generator.cpp,34,35,"Halide::select(arg1, arg2) -> Halide::select(arg2, arg1)",m004_halide_select_arg_swap_select_arg2__arg1_,OK,OK,OK,OK,b64a0c3796b06a6a,dd4035c2958a9d6a,1,,SURVIVED,KILLED,output_compare,,test2_added,0,2.261,,62ff6982293532c6,50e3753d90ef,
interpolate,ast_mutator,generator,adfb989b9bfdf880,halide_rel_swap,interpolate_generator.cpp,34,44,operator< -> operator<=,m006_halide_rel_swap_operator_lt_eq,OK,OK,OK,OK,4072574abf228e14,43336444ab975b4b,1,,SURVIVED,SURVIVED,output_compare,,,0,2.626,,a483e7ad74f587c1,50e3753d90ef,
interpolate,ast_mutator,generator,63051999c6e88802,halide_rel_swap,interpolate_generator.cpp,34,44,operator< -> operator!=,m010_halide_rel_swap_operator_not_eq,OK,OK,OK,OK,91d344a71fbd3219,1531beb3a5da6731,0,tce_lib,NOT_RUN,NOT_RUN,,,,,,,,50e3753d90ef,emitted pipeline is bit-identical machine code: no test can distinguish it
interpolate,ast_mutator,generator,47b972ed4f779351,halide_rel_swap,interpolate_generator.cpp,34,44,operator< -> operator>,m007_halide_rel_swap_operator_gt,OK,OK,OK,OK,6d5dd3711ba0b55d,b53e2839201b4a4d,1,,SURVIVED,KILLED,output_compare,,test2_added,0,2.402,,62ff6982293532c6,50e3753d90ef,
interpolate,ast_mutator,generator,2d7bd241906476f7,halide_rel_swap,interpolate_generator.cpp,34,44,operator< -> operator>=,m008_halide_rel_swap_operator_gt_eq,OK,OK,OK,OK,b64a0c3796b06a6a,dd4035c2958a9d6a,1,,SURVIVED,KILLED,output_compare,,test2_added,0,1.409,,62ff6982293532c6,50e3753d90ef,
interpolate,ast_mutator,generator,8bf2359304b99fb2,halide_rel_swap,interpolate_generator.cpp,34,44,operator< -> operator==,m009_halide_rel_swap_operator_eq_eq,OK,OK,OK,OK,b64a0c3796b06a6a,dd4035c2958a9d6a,1,,SURVIVED,KILLED,output_compare,,test2_added,0,1.743,,62ff6982293532c6,50e3753d90ef,
