app,route,target_kind,mutant_uid,op_id,file,line,column,target,ordinal_this_run,stage_compile,stage_genlink,stage_generate,stage_link,tce_lib,stmt_sha,stmt_differs,equivalent,test1_demo,test2_added,test2_method,test3_perf,killed_by,exit_code,wall_seconds,perf_median,artifact_digest,tool_id,note
max_filter,ast_mutator,generator,01039cb53f02a996,halide_arith_swap,max_filter_generator.cpp,29,41,operator+ -> operator-,m004_halide_arith_swap_operator_sub,OK,OK,OK,OK,440f2571b134f291,7805fc02c90a5020,1,,SURVIVED,KILLED,output_compare,,test2_added,0,2.057,,2e6f33837c6b8f3b,50e3753d90ef,
max_filter,ast_mutator,generator,960718e48f8c68fc,halide_boundary_conditions,max_filter_generator.cpp,17,22,Halide::BoundaryConditions::repeat_edge -> Halide::BoundaryConditions::repeat_image,m001_halide_boundary_conditions_repeat_image,OK,OK,OK,OK,ac841f953fa7734b,d243cb48003e5416,1,,SURVIVED,KILLED,output_compare,,test2_added,0,3.332,,f871cc4e95b00852,50e3753d90ef,
max_filter,ast_mutator,generator,f6e60665285a2920,halide_arith_swap,max_filter_generator.cpp,29,41,operator+ -> operator/,m006_halide_arith_swap_operator_div,OK,OK,OK,OK,8e8c5fba485fc1e1,5ada2825a4cfc0ca,1,,SURVIVED,KILLED,output_compare,,test2_added,0,3.893,,8a6248532178bbf8,50e3753d90ef,
max_filter,ast_mutator,generator,034c2a44180c9820,halide_boundary_conditions,max_filter_generator.cpp,17,22,Halide::BoundaryConditions::repeat_edge -> Halide::BoundaryConditions::mirror_interior,m003_halide_boundary_conditions_mirror_interior,OK,OK,OK,OK,9120f987e1469206,c400c8dd04c3d9c1,1,,SURVIVED,SURVIVED,output_compare,,,0,2.637,,12a739d167d25fbf,50e3753d90ef,
max_filter,ast_mutator,generator,7ba414224f0187bd,halide_boundary_conditions,max_filter_generator.cpp,17,22,Halide::BoundaryConditions::repeat_edge -> Halide::BoundaryConditions::mirror_image,m002_halide_boundary_conditions_mirror_image,OK,OK,OK,OK,70ac0479634099d1,8a573fc2ed337ca2,1,,SURVIVED,SURVIVED,output_compare,,,0,2.514,,12a739d167d25fbf,50e3753d90ef,
max_filter,ast_mutator,generator,3bdfd5d7505eb40f,halide_arith_swap,max_filter_generator.cpp,29,41,operator+ -> operator*,m005_halide_arith_swap_operator_mul,OK,OK,OK,OK,da1cee0ff8463e04,fb644168df7cd480,1,,KILLED,NOT_RUN,,,test1_demo,,30.096,,,50e3753d90ef,run timeout
max_filter,ast_mutator,generator,140061d669fdaf00,halide_arith_swap,max_filter_generator.cpp,31,56,operator+ -> operator-,m010_halide_arith_swap_operator_sub,OK,OK,OK,OK,d8d12c9a5b5a97da,f6d89e3e8fef4bc6,1,,SURVIVED,KILLED,output_compare,,test2_added,0,3.585,,91f7fe5c5961d101,50e3753d90ef,
max_filter,ast_mutator,generator,23e2a2ccd7656cdc,halide_arith_swap,max_filter_generator.cpp,30,64,operator- -> operator/,m009_halide_arith_swap_operator_div,OK,OK,OK,OK,bbd8b2378499fac8,b546830f6e71ceb8,1,,SURVIVED,KILLED,output_compare,,test2_added,0,4.492,,b1546fa727305fce,50e3753d90ef,
max_filter,ast_mutator,generator,1169bf64af0f23a9,halide_arith_swap,max_filter_generator.cpp,30,64,operator- -> operator*,m008_halide_arith_swap_operator_mul,OK,OK,OK,OK,bbd8b2378499fac8,b546830f6e71ceb8,1,,SURVIVED,KILLED,output_compare,,test2_added,0,4.590,,b1546fa727305fce,50e3753d90ef,
max_filter,ast_mutator,generator,d0265d4133dc1853,halide_arith_swap,max_filter_generator.cpp,30,64,operator- -> operator+,m007_halide_arith_swap_operator_add,OK,OK,OK,OK,e3841d61839f028c,99e019120b425051,1,,SURVIVED,KILLED,output_compare,,test2_added,0,4.683,,b1546fa727305fce,50e3753d90ef,
max_filter,ast_mutator,generator,81880aa487dc1a44,halide_arith_swap,max_filter_generator.cpp,31,56,operator+ -> operator*,m011_halide_arith_swap_operator_mul,OK,OK,OK,OK,d97b7e55b4b92aee,152000c2f0ce218e,1,,KILLED,NOT_RUN,,,test1_demo,,30.176,,,50e3753d90ef,run timeout
max_filter,ast_mutator,generator,21bb551c83c80f0f,halide_arith_swap,max_filter_generator.cpp,31,75,operator- -> operator+,m014_halide_arith_swap_operator_add,OK,OK,OK,OK,a1438eac5a5cacef,6d8c74bd5e78ac80,1,,SURVIVED,KILLED,output_compare,,test2_added,0,4.042,,c73ca2c8bde81c5b,50e3753d90ef,
max_filter,ast_mutator,generator,1f0103ac7c32139b,halide_clamp_arg_swap,max_filter_generator.cpp,31,58,"Halide::clamp(arg1, arg2) -> Halide::clamp(arg2, arg1)",m013_halide_clamp_arg_swap_clamp_arg2__arg1_,OK,OK,OK,OK,6b33d24ad4a5d7cd,fe05c8f1855a1282,1,,SURVIVED,KILLED,output_compare,,test2_added,0,4.373,,7ad8fbf750ec7f86,50e3753d90ef,
max_filter,ast_mutator,generator,b15794b91379104a,halide_arith_swap,max_filter_generator.cpp,31,56,operator+ -> operator/,m012_halide_arith_swap_operator_div,OK,OK,OK,OK,7a55f2e7ed8c1a54,83cafb61e263f31a,1,,SURVIVED,KILLED,output_compare,,test2_added,0,8.629,,7873e7a18b1beacd,50e3753d90ef,
max_filter,ast_mutator,generator,2b6ecb2e4a54e3aa,halide_arith_swap,max_filter_generator.cpp,31,75,operator- -> operator*,m015_halide_arith_swap_operator_mul,OK,OK,OK,OK,15e39a0f507b036d,113b7e33ea20ba51,1,,SURVIVED,KILLED,output_compare,,test2_added,0,4.199,,d87d4ca0e2742c23,50e3753d90ef,
max_filter,ast_mutator,generator,d33c86b3cfc9d873,halide_arith_swap,max_filter_generator.cpp,31,75,operator- -> operator/,m016_halide_arith_swap_operator_div,OK,OK,OK,OK,15e39a0f507b036d,113b7e33ea20ba51,1,,SURVIVED,KILLED,output_compare,,test2_added,0,3.801,,d87d4ca0e2742c23,50e3753d90ef,
max_filter,ast_mutator,generator,b9ebc260e6ac6100,halide_arith_swap,max_filter_generator.cpp,31,105,operator- -> operator+,m017_halide_arith_swap_operator_add,OK,OK,OK,OK,460af7b3c370a13c,c7cc2887a8c02756,1,,SURVIVED,KILLED,output_compare,,test2_added,0,4.026,,fb7d0ebd62dc7815,50e3753d90ef,
max_filter,ast_mutator,generator,7adb68a5e4fdaec1,halide_arith_swap,max_filter_generator.cpp,31,105,operator- -> operator*,m018_halide_arith_swap_operator_mul,OK,OK,OK,OK,c951495a30cd5c24,9a5eb1ed1be5ed10,1,,SURVIVED,KILLED,output_compare,,test2_added,0,4.106,,fb7d0ebd62dc7815,50e3753d90ef,
max_filter,ast_mutator,generator,f3681a0380c40f3e,halide_arith_swap,max_filter_generator.cpp,38,62,operator/ -> operator+,m020_halide_arith_swap_operator_add,OK,OK,OK,OK,059eb43aa5069429,ce61fbec9ebefe1b,1,,SURVIVED,KILLED,output_compare,,test2_added,0,5.196,,90d708966a903f23,50e3753d90ef,
max_filter,ast_mutator,generator,267110b35c45360b,halide_arith_swap,max_filter_generator.cpp,38,62,operator/ -> operator-,m021_halide_arith_swap_operator_sub,OK,OK,OK,OK,2b4729d21ca446e5,c3442179356b2609,1,,SURVIVED,KILLED,output_compare,,test2_added,0,4.217,,6b1bb07ccb6baa74,50e3753d90ef,
max_filter,ast_mutator,generator,89a1ee9af4a8212b,halide_arith_swap,max_filter_generator.cpp,31,105,operator- -> operator/,m019_halide_arith_swap_operator_div,OK,OK,OK,OK,c951495a30cd5c24,9a5eb1ed1be5ed10,1,,SURVIVED,KILLED,output_compare,,test2_added,0,5.512,,fb7d0ebd62dc7815,50e3753d90ef,
max_filter,ast_mutator,generator,b61c853f0a78dc8b,halide_arith_swap,max_filter_generator.cpp,38,62,operator/ -> operator*,m022_halide_arith_swap_operator_mul,OK,OK,OK,OK,accabd3d3b587dc0,ae323b9dba4cb327,1,,SURVIVED,KILLED,output_compare,,test2_added,0,4.174,,6c1878163dc46df1,50e3753d90ef,
max_filter,ast_mutator,generator,041ffa69a1ac4c46,halide_arith_swap,max_filter_generator.cpp,38,57,operator+ -> operator-,m023_halide_arith_swap_operator_sub,OK,OK,OK,OK,45cb5bbe781e6dfe,a906791e95034fa9,1,,SURVIVED,KILLED,output_compare,,test2_added,0,3.117,,395f7509b81c0302,50e3753d90ef,
max_filter,ast_mutator,generator,8fc3927bac06a4a3,halide_arith_swap,max_filter_generator.cpp,38,57,operator+ -> operator*,m024_halide_arith_swap_operator_mul,OK,OK,OK,OK,73a3066f51f65fe1,b7799d0afb898028,1,,SURVIVED,SURVIVED,output_compare,,,0,2.494,,12a739d167d25fbf,50e3753d90ef,
max_filter,ast_mutator,generator,8c5857c82b7e1778,halide_arith_swap,max_filter_generator.cpp,38,53,operator* -> operator/,m028_halide_arith_swap_operator_div,OK,OK,OK,OK,ed63001a4e234f73,a0499b1352667eeb,1,,KILLED,NOT_RUN,output_compare,,test1_demo,-6,0.287,,,50e3753d90ef,"golden driver exited -6, wrote no artifact -- test1 kill only, not a test2 kill"
