app,arm,mutator,file,line,column,variant,stage2,stmt_differs,effective,stage3,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,exit_code,wall_seconds,note
c_backend,select_clamp,Halide_clamp_swap_bounds,pipeline_generator.cpp,17,26,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.01,
c_backend,select_clamp,Halide_clamp_swap_bounds,pipeline_generator.cpp,17,70,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.01,
c_backend,select_clamp,Halide_clamp_swap_bounds,pipeline_generator.cpp,17,26,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.08,
c_backend,select_clamp,Halide_clamp_swap_bounds,pipeline_generator.cpp,17,70,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.02,
c_backend,generated,Halide_max_to_min,pipeline_generator.cpp,19,39,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.01,
c_backend,generated,Halide_max_to_min,pipeline_generator.cpp,19,39,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.02,
c_backend,schedule,Halide_vectorize_to_parallel,pipeline_generator.cpp,21,26,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.06,
c_backend,schedule,Halide_vectorize_to_unroll,pipeline_generator.cpp,21,26,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.01,
c_backend,schedule,Halide_vectorize_to_parallel,pipeline_generator.cpp,21,26,after,OK,1,1,OK,NOT_RUN,NOT_RUN,SURVIVED,NOT_RUN,,0,0,0.18,
c_backend,schedule,Halide_vectorize_to_unroll,pipeline_generator.cpp,21,26,after,OK,1,1,OK,NOT_RUN,NOT_RUN,SURVIVED,NOT_RUN,,0,0,0.02,
c_backend,arithmetic,Halide_add_to_div,pipeline_generator.cpp,17,34,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.01,
c_backend,arithmetic,Halide_add_to_div,pipeline_generator.cpp,19,54,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-8,1.46,
c_backend,arithmetic,Halide_add_to_div,pipeline_generator.cpp,19,64,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.01,
c_backend,arithmetic,Halide_add_to_div,pipeline_generator.cpp,19,87,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.01,
c_backend,arithmetic,Halide_add_to_mul,pipeline_generator.cpp,17,34,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.01,
c_backend,arithmetic,Halide_add_to_mul,pipeline_generator.cpp,19,54,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.02,
c_backend,arithmetic,Halide_add_to_mul,pipeline_generator.cpp,19,64,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.01,
c_backend,arithmetic,Halide_add_to_mul,pipeline_generator.cpp,19,87,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.01,
c_backend,arithmetic,Halide_add_to_sub,pipeline_generator.cpp,17,34,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.01,
c_backend,arithmetic,Halide_add_to_sub,pipeline_generator.cpp,19,54,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.01,
c_backend,arithmetic,Halide_add_to_sub,pipeline_generator.cpp,19,64,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.05,
c_backend,arithmetic,Halide_add_to_sub,pipeline_generator.cpp,19,87,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.05,
