app,arm,mutator,file,line,column,variant,stage2,stmt_differs,effective,stage3,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,exit_code,wall_seconds,note
conv_layer,arithmetic,Halide_add_to_div,conv_layer_generator.cpp,25,69,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.06,
conv_layer,arithmetic,Halide_add_to_div,conv_layer_generator.cpp,25,78,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.06,
conv_layer,arithmetic,Halide_add_to_mul,conv_layer_generator.cpp,25,69,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.06,
conv_layer,arithmetic,Halide_add_to_mul,conv_layer_generator.cpp,25,78,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.06,
conv_layer,arithmetic,Halide_add_to_sub,conv_layer_generator.cpp,25,69,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.07,
conv_layer,arithmetic,Halide_add_to_sub,conv_layer_generator.cpp,25,78,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.06,
conv_layer,arithmetic,Halide_mul_to_add,conv_layer_generator.cpp,25,54,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,15.66,
conv_layer,arithmetic,Halide_mul_to_div,conv_layer_generator.cpp,25,54,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,46.15,
conv_layer,arithmetic,Halide_mul_to_sub,conv_layer_generator.cpp,25,54,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,15.65,
conv_layer,arithmetic,Halide_add_to_div,conv_layer_generator.cpp,25,69,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,-6,0.04,
conv_layer,arithmetic,Halide_add_to_div,conv_layer_generator.cpp,25,78,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,-6,0.04,
conv_layer,arithmetic,Halide_add_to_mul,conv_layer_generator.cpp,25,69,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,-6,0.04,
conv_layer,arithmetic,Halide_add_to_mul,conv_layer_generator.cpp,25,78,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,-6,0.04,
conv_layer,arithmetic,Halide_add_to_sub,conv_layer_generator.cpp,25,69,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,-6,0.04,
conv_layer,arithmetic,Halide_add_to_sub,conv_layer_generator.cpp,25,78,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,-6,0.04,
conv_layer,arithmetic,Halide_mul_to_add,conv_layer_generator.cpp,25,54,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.16,
conv_layer,arithmetic,Halide_mul_to_div,conv_layer_generator.cpp,25,54,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.31,
conv_layer,arithmetic,Halide_mul_to_sub,conv_layer_generator.cpp,25,54,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.16,
conv_layer,generated,Halide_add_assign_to_sub_assign,conv_layer_generator.cpp,25,26,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,16.60,
conv_layer,generated,Halide_max_to_min,conv_layer_generator.cpp,27,28,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,10.45,
conv_layer,generated,Halide_add_assign_to_sub_assign,conv_layer_generator.cpp,25,26,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.17,
conv_layer,generated,Halide_max_to_min,conv_layer_generator.cpp,27,28,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.14,
