app,arm,mutator,file,line,column,variant,stage2,stmt_differs,effective,stage3,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,exit_code,wall_seconds,note
depthwise_separable_conv,arithmetic,Halide_add_to_div,depthwise_separable_conv_generator.cpp,60,29,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.64,
depthwise_separable_conv,arithmetic,Halide_add_to_div,depthwise_separable_conv_generator.cpp,61,29,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.30,
depthwise_separable_conv,arithmetic,Halide_add_to_mul,depthwise_separable_conv_generator.cpp,60,29,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.27,
depthwise_separable_conv,arithmetic,Halide_add_to_mul,depthwise_separable_conv_generator.cpp,61,29,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.33,
depthwise_separable_conv,arithmetic,Halide_add_to_sub,depthwise_separable_conv_generator.cpp,60,29,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.39,
depthwise_separable_conv,arithmetic,Halide_add_to_sub,depthwise_separable_conv_generator.cpp,61,29,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.42,
depthwise_separable_conv,arithmetic,Halide_div_to_add,depthwise_separable_conv_generator.cpp,48,59,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.57,
depthwise_separable_conv,arithmetic,Halide_div_to_add,depthwise_separable_conv_generator.cpp,49,60,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.63,
depthwise_separable_conv,arithmetic,Halide_div_to_add,depthwise_separable_conv_generator.cpp,59,29,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.02,
depthwise_separable_conv,arithmetic,Halide_div_to_add,depthwise_separable_conv_generator.cpp,288,79,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.02,
depthwise_separable_conv,arithmetic,Halide_div_to_mul,depthwise_separable_conv_generator.cpp,48,59,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.62,
depthwise_separable_conv,arithmetic,Halide_div_to_mul,depthwise_separable_conv_generator.cpp,49,60,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.41,
depthwise_separable_conv,arithmetic,Halide_div_to_mul,depthwise_separable_conv_generator.cpp,59,29,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.42,
depthwise_separable_conv,arithmetic,Halide_div_to_mul,depthwise_separable_conv_generator.cpp,288,79,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.02,
depthwise_separable_conv,arithmetic,Halide_div_to_sub,depthwise_separable_conv_generator.cpp,48,59,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.63,
depthwise_separable_conv,arithmetic,Halide_div_to_sub,depthwise_separable_conv_generator.cpp,49,60,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.43,
depthwise_separable_conv,arithmetic,Halide_div_to_sub,depthwise_separable_conv_generator.cpp,59,29,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.02,
depthwise_separable_conv,arithmetic,Halide_div_to_sub,depthwise_separable_conv_generator.cpp,288,79,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.03,
depthwise_separable_conv,arithmetic,Halide_mul_to_add,depthwise_separable_conv_generator.cpp,58,45,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.42,
depthwise_separable_conv,arithmetic,Halide_mul_to_add,depthwise_separable_conv_generator.cpp,71,37,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.62,
depthwise_separable_conv,arithmetic,Halide_mul_to_add,depthwise_separable_conv_generator.cpp,288,85,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.02,
depthwise_separable_conv,arithmetic,Halide_mul_to_div,depthwise_separable_conv_generator.cpp,58,45,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.62,
depthwise_separable_conv,arithmetic,Halide_mul_to_div,depthwise_separable_conv_generator.cpp,71,37,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.63,
depthwise_separable_conv,arithmetic,Halide_mul_to_div,depthwise_separable_conv_generator.cpp,288,85,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.02,
depthwise_separable_conv,arithmetic,Halide_mul_to_sub,depthwise_separable_conv_generator.cpp,58,45,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.42,
depthwise_separable_conv,arithmetic,Halide_mul_to_sub,depthwise_separable_conv_generator.cpp,71,37,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.61,
depthwise_separable_conv,arithmetic,Halide_mul_to_sub,depthwise_separable_conv_generator.cpp,288,85,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.02,
depthwise_separable_conv,arithmetic,Halide_sub_to_add,depthwise_separable_conv_generator.cpp,60,34,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.42,
depthwise_separable_conv,arithmetic,Halide_sub_to_add,depthwise_separable_conv_generator.cpp,61,34,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.42,
depthwise_separable_conv,arithmetic,Halide_sub_to_div,depthwise_separable_conv_generator.cpp,60,34,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.69,
depthwise_separable_conv,arithmetic,Halide_sub_to_div,depthwise_separable_conv_generator.cpp,61,34,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.62,
depthwise_separable_conv,arithmetic,Halide_sub_to_mul,depthwise_separable_conv_generator.cpp,60,34,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.42,
depthwise_separable_conv,arithmetic,Halide_sub_to_mul,depthwise_separable_conv_generator.cpp,61,34,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,0.62,
depthwise_separable_conv,arithmetic,Halide_add_to_div,depthwise_separable_conv_generator.cpp,60,29,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.01,
depthwise_separable_conv,arithmetic,Halide_add_to_div,depthwise_separable_conv_generator.cpp,61,29,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.01,
depthwise_separable_conv,arithmetic,Halide_add_to_mul,depthwise_separable_conv_generator.cpp,60,29,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.01,
depthwise_separable_conv,arithmetic,Halide_add_to_mul,depthwise_separable_conv_generator.cpp,61,29,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.01,
depthwise_separable_conv,arithmetic,Halide_add_to_sub,depthwise_separable_conv_generator.cpp,60,29,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.01,
depthwise_separable_conv,arithmetic,Halide_add_to_sub,depthwise_separable_conv_generator.cpp,61,29,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.01,
depthwise_separable_conv,arithmetic,Halide_div_to_add,depthwise_separable_conv_generator.cpp,48,59,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.01,
depthwise_separable_conv,arithmetic,Halide_div_to_add,depthwise_separable_conv_generator.cpp,49,60,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.01,
depthwise_separable_conv,arithmetic,Halide_div_to_add,depthwise_separable_conv_generator.cpp,59,29,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.01,
depthwise_separable_conv,arithmetic,Halide_div_to_add,depthwise_separable_conv_generator.cpp,288,79,after,OK,1,1,OK,NOT_RUN,NOT_RUN,SURVIVED,NOT_RUN,,0,0,0.01,
depthwise_separable_conv,arithmetic,Halide_div_to_mul,depthwise_separable_conv_generator.cpp,48,59,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.01,
