app,arm,mutator,file,line,column,variant,stage2,stmt_differs,effective,stage3,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,exit_code,wall_seconds,note
iir_blur,arithmetic,Halide_add_to_div,iir_blur_generator.cpp,25,42,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.15,
iir_blur,arithmetic,Halide_add_to_div,iir_blur_generator.cpp,29,39,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.52,
iir_blur,arithmetic,Halide_add_to_div,iir_blur_generator.cpp,29,47,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.15,
iir_blur,arithmetic,Halide_add_to_mul,iir_blur_generator.cpp,25,42,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.14,
iir_blur,arithmetic,Halide_add_to_mul,iir_blur_generator.cpp,29,39,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.50,
iir_blur,arithmetic,Halide_add_to_mul,iir_blur_generator.cpp,29,47,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.14,
iir_blur,arithmetic,Halide_add_to_sub,iir_blur_generator.cpp,25,42,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.75,
iir_blur,arithmetic,Halide_add_to_sub,iir_blur_generator.cpp,29,39,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.65,
iir_blur,arithmetic,Halide_add_to_sub,iir_blur_generator.cpp,29,47,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.77,
iir_blur,arithmetic,Halide_mul_to_add,iir_blur_generator.cpp,25,21,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.90,
iir_blur,arithmetic,Halide_mul_to_add,iir_blur_generator.cpp,25,50,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.50,
iir_blur,arithmetic,Halide_mul_to_add,iir_blur_generator.cpp,29,21,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.94,
iir_blur,arithmetic,Halide_mul_to_add,iir_blur_generator.cpp,29,55,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.47,
iir_blur,arithmetic,Halide_mul_to_div,iir_blur_generator.cpp,25,21,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.70,
iir_blur,arithmetic,Halide_mul_to_div,iir_blur_generator.cpp,25,50,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.74,
iir_blur,arithmetic,Halide_mul_to_div,iir_blur_generator.cpp,29,21,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.25,
iir_blur,arithmetic,Halide_mul_to_div,iir_blur_generator.cpp,29,55,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.77,
iir_blur,arithmetic,Halide_mul_to_sub,iir_blur_generator.cpp,25,21,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,4.25,
iir_blur,arithmetic,Halide_mul_to_sub,iir_blur_generator.cpp,25,50,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.45,
iir_blur,arithmetic,Halide_mul_to_sub,iir_blur_generator.cpp,29,21,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.05,
iir_blur,arithmetic,Halide_mul_to_sub,iir_blur_generator.cpp,29,55,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.45,
iir_blur,arithmetic,Halide_sub_to_add,iir_blur_generator.cpp,23,23,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.21,
iir_blur,arithmetic,Halide_sub_to_add,iir_blur_generator.cpp,25,12,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.15,
iir_blur,arithmetic,Halide_sub_to_add,iir_blur_generator.cpp,25,34,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.16,
iir_blur,arithmetic,Halide_sub_to_add,iir_blur_generator.cpp,27,27,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.54,
iir_blur,arithmetic,Halide_sub_to_add,iir_blur_generator.cpp,27,32,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.75,
iir_blur,arithmetic,Halide_sub_to_add,iir_blur_generator.cpp,29,12,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.15,
iir_blur,arithmetic,Halide_sub_to_div,iir_blur_generator.cpp,23,23,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.21,
iir_blur,arithmetic,Halide_sub_to_div,iir_blur_generator.cpp,25,12,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.14,
iir_blur,arithmetic,Halide_sub_to_div,iir_blur_generator.cpp,25,34,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.15,
iir_blur,arithmetic,Halide_sub_to_div,iir_blur_generator.cpp,27,27,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.45,
iir_blur,arithmetic,Halide_sub_to_div,iir_blur_generator.cpp,27,32,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.75,
iir_blur,arithmetic,Halide_sub_to_div,iir_blur_generator.cpp,29,12,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.15,
iir_blur,arithmetic,Halide_sub_to_mul,iir_blur_generator.cpp,23,23,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.21,
iir_blur,arithmetic,Halide_sub_to_mul,iir_blur_generator.cpp,25,12,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,6.76,
iir_blur,arithmetic,Halide_sub_to_mul,iir_blur_generator.cpp,25,34,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.14,
iir_blur,arithmetic,Halide_sub_to_mul,iir_blur_generator.cpp,27,27,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,32.47,
iir_blur,arithmetic,Halide_sub_to_mul,iir_blur_generator.cpp,27,32,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.78,
iir_blur,arithmetic,Halide_sub_to_mul,iir_blur_generator.cpp,29,12,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,6.76,
iir_blur,arithmetic,Halide_add_to_div,iir_blur_generator.cpp,25,42,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_add_to_div,iir_blur_generator.cpp,29,39,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_add_to_div,iir_blur_generator.cpp,29,47,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_add_to_mul,iir_blur_generator.cpp,25,42,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_add_to_mul,iir_blur_generator.cpp,29,39,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_add_to_mul,iir_blur_generator.cpp,29,47,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_add_to_sub,iir_blur_generator.cpp,25,42,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_add_to_sub,iir_blur_generator.cpp,29,39,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_add_to_sub,iir_blur_generator.cpp,29,47,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_mul_to_add,iir_blur_generator.cpp,25,21,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_mul_to_add,iir_blur_generator.cpp,25,50,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_mul_to_add,iir_blur_generator.cpp,29,21,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_mul_to_add,iir_blur_generator.cpp,29,55,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_mul_to_div,iir_blur_generator.cpp,25,21,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_mul_to_div,iir_blur_generator.cpp,25,50,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
iir_blur,arithmetic,Halide_mul_to_div,iir_blur_generator.cpp,29,21,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.00,
