app,arm,mutator,file,line,column,variant,stage2,stmt_differs,effective,stage3,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,exit_code,wall_seconds,note
max_filter,arithmetic,Halide_add_to_div,max_filter_generator.cpp,29,41,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.42,
max_filter,arithmetic,Halide_add_to_div,max_filter_generator.cpp,31,56,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.95,
max_filter,arithmetic,Halide_add_to_div,max_filter_generator.cpp,38,57,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,1.29,
max_filter,arithmetic,Halide_add_to_div,max_filter_generator.cpp,45,44,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.13,
max_filter,arithmetic,Halide_add_to_div,max_filter_generator.cpp,45,48,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.29,
max_filter,arithmetic,Halide_add_to_div,max_filter_generator.cpp,50,45,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.05,
max_filter,arithmetic,Halide_add_to_div,max_filter_generator.cpp,54,43,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.60,
max_filter,arithmetic,Halide_add_to_mul,max_filter_generator.cpp,29,41,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,15.94,
max_filter,arithmetic,Halide_add_to_mul,max_filter_generator.cpp,31,56,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,32.58,
max_filter,arithmetic,Halide_add_to_mul,max_filter_generator.cpp,38,57,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,1.28,
max_filter,arithmetic,Halide_add_to_mul,max_filter_generator.cpp,45,44,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,15.64,
max_filter,arithmetic,Halide_add_to_mul,max_filter_generator.cpp,45,48,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.27,
max_filter,arithmetic,Halide_add_to_mul,max_filter_generator.cpp,50,45,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.40,
max_filter,arithmetic,Halide_add_to_mul,max_filter_generator.cpp,54,43,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,1.47,
max_filter,arithmetic,Halide_add_to_sub,max_filter_generator.cpp,29,41,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.30,
max_filter,arithmetic,Halide_add_to_sub,max_filter_generator.cpp,31,56,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.28,
max_filter,arithmetic,Halide_add_to_sub,max_filter_generator.cpp,38,57,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.30,
max_filter,arithmetic,Halide_add_to_sub,max_filter_generator.cpp,45,44,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.23,
max_filter,arithmetic,Halide_add_to_sub,max_filter_generator.cpp,45,48,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.28,
max_filter,arithmetic,Halide_add_to_sub,max_filter_generator.cpp,50,45,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.05,
max_filter,arithmetic,Halide_add_to_sub,max_filter_generator.cpp,54,43,before,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,1.26,
max_filter,arithmetic,Halide_div_to_add,max_filter_generator.cpp,38,62,before,OK,0,0,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,,0.00,equivalent at this target (emitted .stmt unchanged)
max_filter,arithmetic,Halide_div_to_add,Halide.h,13294,25,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.48,
max_filter,arithmetic,Halide_div_to_mul,max_filter_generator.cpp,38,62,before,OK,0,0,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,,0.00,equivalent at this target (emitted .stmt unchanged)
max_filter,arithmetic,Halide_div_to_mul,Halide.h,13294,25,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.99,
max_filter,arithmetic,Halide_div_to_sub,max_filter_generator.cpp,38,62,before,OK,0,0,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,,0.00,equivalent at this target (emitted .stmt unchanged)
max_filter,arithmetic,Halide_div_to_sub,Halide.h,13294,25,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.81,
max_filter,arithmetic,Halide_mul_to_add,max_filter_generator.cpp,38,53,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.45,
max_filter,arithmetic,Halide_mul_to_add,max_filter_generator.cpp,50,41,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.06,
max_filter,arithmetic,Halide_mul_to_add,max_filter_generator.cpp,50,50,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.06,
max_filter,arithmetic,Halide_mul_to_div,max_filter_generator.cpp,38,53,before,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,0.21,
max_filter,arithmetic,Halide_mul_to_div,max_filter_generator.cpp,50,41,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.05,
max_filter,arithmetic,Halide_mul_to_div,max_filter_generator.cpp,50,50,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.05,
max_filter,arithmetic,Halide_mul_to_sub,max_filter_generator.cpp,38,53,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.44,
max_filter,arithmetic,Halide_mul_to_sub,max_filter_generator.cpp,50,41,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.05,
max_filter,arithmetic,Halide_mul_to_sub,max_filter_generator.cpp,50,50,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.05,
max_filter,arithmetic,Halide_sub_to_add,max_filter_generator.cpp,30,64,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.31,
max_filter,arithmetic,Halide_sub_to_add,max_filter_generator.cpp,31,75,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.18,
max_filter,arithmetic,Halide_sub_to_add,max_filter_generator.cpp,31,105,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.20,
max_filter,arithmetic,Halide_sub_to_add,max_filter_generator.cpp,44,43,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.27,
max_filter,arithmetic,Halide_sub_to_add,max_filter_generator.cpp,45,52,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.34,
max_filter,arithmetic,Halide_sub_to_div,max_filter_generator.cpp,30,64,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.31,
max_filter,arithmetic,Halide_sub_to_div,max_filter_generator.cpp,31,75,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.64,
max_filter,arithmetic,Halide_sub_to_div,max_filter_generator.cpp,31,105,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.17,
max_filter,arithmetic,Halide_sub_to_div,max_filter_generator.cpp,44,43,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.13,
max_filter,arithmetic,Halide_sub_to_div,max_filter_generator.cpp,45,52,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.30,
max_filter,arithmetic,Halide_sub_to_mul,max_filter_generator.cpp,30,64,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.29,
max_filter,arithmetic,Halide_sub_to_mul,max_filter_generator.cpp,31,75,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.63,
max_filter,arithmetic,Halide_sub_to_mul,max_filter_generator.cpp,31,105,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.18,
max_filter,arithmetic,Halide_sub_to_mul,max_filter_generator.cpp,44,43,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,16.59,
max_filter,arithmetic,Halide_sub_to_mul,max_filter_generator.cpp,45,52,before,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,32.75,
max_filter,arithmetic,Halide_add_to_div,max_filter_generator.cpp,29,41,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.43,
max_filter,arithmetic,Halide_add_to_div,max_filter_generator.cpp,31,56,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.44,
max_filter,arithmetic,Halide_add_to_div,max_filter_generator.cpp,38,57,after,OK,1,1,OK,NOT_RUN,NOT_RUN,SURVIVED,NOT_RUN,,0,0,0.43,
max_filter,arithmetic,Halide_add_to_div,max_filter_generator.cpp,45,44,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.42,
max_filter,arithmetic,Halide_add_to_div,max_filter_generator.cpp,45,48,after,OK,1,1,OK,NOT_RUN,NOT_RUN,KILLED,NOT_RUN,test2_written,1,1,0.43,
