mutator,file,line,col,endline,endcol,type,halide,bucket
cxx_remove_void_call,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,18961,47,18961,53,,,halide_library
cxx_remove_void_call,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,24177,5,24177,17,,,halide_library
cxx_remove_void_call,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,24165,5,24165,20,,,halide_library
cxx_remove_void_call,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,18961,47,18961,53,,,halide_library
cxx_remove_void_call,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,24177,5,24177,17,,,halide_library
cxx_remove_void_call,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,24165,5,24165,20,,,halide_library
cxx_logical_and_to_or,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12843,23,12843,25,,,halide_library
cxx_remove_negation,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12843,9,12843,10,,,halide_library
cxx_eq_to_ne,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12843,28,12843,30,,,halide_library
cxx_rshift_to_lshift,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12849,28,12849,30,,,halide_library
cxx_rshift_to_lshift,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12850,28,12850,30,,,halide_library
cxx_eq_to_ne,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12851,30,12851,32,,,halide_library
cxx_minus_to_noop,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12851,38,12851,39,,,halide_library
cxx_sub_assign_to_add_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12852,12,12852,14,,,halide_library
cxx_sub_assign_to_add_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12853,12,12853,14,,,halide_library
cxx_div_to_mul,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12854,24,12854,25,,,halide_library
cxx_add_assign_to_sub_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12855,11,12855,13,,,halide_library
cxx_and_to_or,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12855,20,12855,21,,,halide_library
cxx_sub_to_add,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12855,30,12855,31,,,halide_library
cxx_bitwise_not_to_noop,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12855,23,12855,24,,,halide_library
cxx_and_assign_to_or_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12856,11,12856,13,,,halide_library
cxx_bitwise_not_to_noop,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12856,14,12856,15,,,halide_library
cxx_div_to_mul,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12859,18,12859,19,,,halide_library
cxx_logical_and_to_or,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12843,23,12843,25,,,halide_library
cxx_remove_negation,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12843,9,12843,10,,,halide_library
cxx_eq_to_ne,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12843,28,12843,30,,,halide_library
cxx_rshift_to_lshift,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12849,28,12849,30,,,halide_library
cxx_rshift_to_lshift,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12850,28,12850,30,,,halide_library
cxx_eq_to_ne,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12851,30,12851,32,,,halide_library
cxx_minus_to_noop,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12851,38,12851,39,,,halide_library
cxx_sub_assign_to_add_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12852,12,12852,14,,,halide_library
cxx_sub_assign_to_add_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12853,12,12853,14,,,halide_library
cxx_div_to_mul,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12854,24,12854,25,,,halide_library
cxx_add_assign_to_sub_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12855,11,12855,13,,,halide_library
cxx_and_to_or,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12855,20,12855,21,,,halide_library
cxx_sub_to_add,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12855,30,12855,31,,,halide_library
cxx_bitwise_not_to_noop,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12855,23,12855,24,,,halide_library
cxx_and_assign_to_or_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12856,11,12856,13,,,halide_library
cxx_bitwise_not_to_noop,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12856,14,12856,15,,,halide_library
cxx_div_to_mul,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12859,18,12859,19,,,halide_library
cxx_logical_and_to_or,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12822,23,12822,25,,,halide_library
cxx_remove_negation,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12822,9,12822,10,,,halide_library
cxx_eq_to_ne,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12822,28,12822,30,,,halide_library
cxx_rshift_to_lshift,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12827,28,12827,30,,,halide_library
cxx_rshift_to_lshift,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12828,28,12828,30,,,halide_library
cxx_eq_to_ne,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12829,30,12829,32,,,halide_library
cxx_minus_to_noop,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12829,38,12829,39,,,halide_library
cxx_sub_assign_to_add_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12830,12,12830,14,,,halide_library
cxx_rem_to_div,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12831,24,12831,25,,,halide_library
cxx_or_to_and,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12831,30,12831,31,,,halide_library
cxx_add_assign_to_sub_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12832,11,12832,13,,,halide_library
cxx_and_to_or,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12832,21,12832,22,,,halide_library
cxx_add_to_sub,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12832,37,12832,38,,,halide_library
cxx_xor_to_or,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12832,28,12832,29,,,halide_library
cxx_bitwise_not_to_noop,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12832,39,12832,40,,,halide_library
cxx_and_assign_to_or_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12833,11,12833,13,,,halide_library
cxx_bitwise_not_to_noop,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12833,14,12833,15,,,halide_library
cxx_rem_to_div,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12836,18,12836,19,,,halide_library
cxx_logical_and_to_or,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12822,23,12822,25,,,halide_library
cxx_remove_negation,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12822,9,12822,10,,,halide_library
cxx_eq_to_ne,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12822,28,12822,30,,,halide_library
cxx_rshift_to_lshift,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12827,28,12827,30,,,halide_library
cxx_rshift_to_lshift,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12828,28,12828,30,,,halide_library
cxx_eq_to_ne,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12829,30,12829,32,,,halide_library
cxx_minus_to_noop,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12829,38,12829,39,,,halide_library
cxx_sub_assign_to_add_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12830,12,12830,14,,,halide_library
cxx_rem_to_div,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12831,24,12831,25,,,halide_library
cxx_or_to_and,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12831,30,12831,31,,,halide_library
cxx_add_assign_to_sub_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12832,11,12832,13,,,halide_library
cxx_and_to_or,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12832,21,12832,22,,,halide_library
cxx_add_to_sub,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12832,37,12832,38,,,halide_library
cxx_xor_to_or,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12832,28,12832,29,,,halide_library
cxx_bitwise_not_to_noop,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12832,39,12832,40,,,halide_library
cxx_and_assign_to_or_assign,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12833,11,12833,13,,,halide_library
cxx_bitwise_not_to_noop,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12833,14,12833,15,,,halide_library
cxx_rem_to_div,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,12836,18,12836,19,,,halide_library
cxx_remove_void_call,tools/halide_trace_config.h,71,5,71,14,,,halide_library
cxx_lt_to_ge,tools/halide_trace_config.h,74,26,74,27,,,halide_library
cxx_lt_to_le,tools/halide_trace_config.h,74,26,74,27,,,halide_library
cxx_pre_inc_to_pre_dec,tools/halide_trace_config.h,74,34,74,36,,,halide_library
cxx_remove_void_call,tools/halide_trace_config.h,77,9,77,25,,,halide_library
cxx_remove_void_call,tools/halide_trace_config.h,71,5,71,14,,,halide_library
cxx_lt_to_ge,tools/halide_trace_config.h,74,26,74,27,,,halide_library
cxx_lt_to_le,tools/halide_trace_config.h,74,26,74,27,,,halide_library
cxx_pre_inc_to_pre_dec,tools/halide_trace_config.h,74,34,74,36,,,halide_library
cxx_remove_void_call,tools/halide_trace_config.h,77,9,77,25,,,halide_library
cxx_remove_void_call,tools/halide_trace_config.h,71,5,71,14,,,halide_library
cxx_lt_to_ge,tools/halide_trace_config.h,74,26,74,27,,,halide_library
cxx_lt_to_le,tools/halide_trace_config.h,74,26,74,27,,,halide_library
cxx_pre_inc_to_pre_dec,tools/halide_trace_config.h,74,34,74,36,,,halide_library
cxx_remove_void_call,tools/halide_trace_config.h,77,9,77,25,,,halide_library
cxx_remove_void_call,tools/halide_trace_config.h,71,5,71,14,,,halide_library
cxx_lt_to_ge,tools/halide_trace_config.h,74,26,74,27,,,halide_library
cxx_lt_to_le,tools/halide_trace_config.h,74,26,74,27,,,halide_library
cxx_pre_inc_to_pre_dec,tools/halide_trace_config.h,74,34,74,36,,,halide_library
cxx_remove_void_call,tools/halide_trace_config.h,77,9,77,25,,,halide_library
cxx_init_const,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,20449,18,20449,19,,,halide_library
cxx_lt_to_ge,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,20449,23,20449,24,,,halide_library
cxx_lt_to_le,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,20449,23,20449,24,,,halide_library
cxx_post_inc_to_post_dec,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,20449,50,20449,52,,,halide_library
cxx_lt_to_ge,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,26132,74,26132,75,,,halide_library
cxx_lt_to_le,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,26132,74,26132,75,,,halide_library
cxx_lt_to_ge,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,26133,14,26133,15,,,halide_library
cxx_lt_to_le,/dev/shm/ardi_dslmut/halide16-build/include/Halide.h,26133,14,26133,15,,,halide_library
