app,arm,mutator,file,line,column,region,exit_code,o1_killed,o2_killed,wall_seconds
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3576,19,generator_specific,-6,1,1,0.342
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3579,20,generator_specific,-6,1,1,0.295
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3596,21,generator_specific,-6,1,1,0.303
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3613,22,generator_specific,-6,1,1,0.300
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3632,23,generator_specific,-11,1,1,0.301
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3636,56,generator_specific,-11,1,1,0.303
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3637,24,generator_specific,0,0,0,1.399
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3639,23,generator_specific,0,0,1,1.165
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3641,24,generator_specific,0,0,1,1.194
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3643,24,generator_specific,0,0,1,1.346
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3644,50,generator_specific,0,0,1,1.091
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3647,25,generator_specific,-11,1,1,0.313
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3648,25,generator_specific,-11,1,1,0.310
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3649,25,generator_specific,0,0,1,0.962
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3654,25,generator_specific,-11,1,1,0.312
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3655,25,generator_specific,0,0,1,1.397
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3660,25,generator_specific,-11,1,1,0.312
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3661,25,generator_specific,0,0,1,1.165
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3666,24,generator_specific,0,0,1,1.134
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3667,24,generator_specific,0,0,1,1.344
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3668,25,generator_specific,-11,1,1,0.313
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3673,57,generator_specific,-11,1,1,0.313
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3674,25,generator_specific,0,0,1,1.270
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3676,24,generator_specific,0,0,1,1.231
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3677,25,generator_specific,0,0,1,1.242
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3678,25,generator_specific,-11,1,1,0.314
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3679,25,generator_specific,0,0,1,1.250
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3684,25,generator_specific,-11,1,1,0.313
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3685,25,generator_specific,0,0,1,1.146
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3690,25,generator_specific,-11,1,1,0.311
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3691,25,generator_specific,0,0,1,1.121
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3696,25,generator_specific,0,0,1,1.278
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3697,25,generator_specific,0,0,1,1.242
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3698,26,generator_specific,0,0,0,1.247
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3700,25,generator_specific,0,0,1,1.280
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3702,27,generator_specific,-11,1,1,0.308
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3703,27,generator_specific,0,0,1,1.306
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3712,58,generator_specific,0,0,1,1.395
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3713,25,generator_specific,0,0,1,1.178
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3714,27,generator_specific,0,0,1,1.428
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3716,27,generator_specific,0,0,0,1.255
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3720,25,generator_specific,0,0,1,1.175
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3724,59,generator_specific,0,0,1,0.670
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3727,28,generator_specific,-11,1,1,0.260
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3728,28,generator_specific,-11,1,1,0.313
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3729,28,generator_specific,0,0,1,1.090
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3731,28,generator_specific,0,0,1,1.200
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3736,28,generator_specific,0,0,1,1.313
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3744,27,generator_specific,0,0,1,1.272
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3745,27,generator_specific,0,0,1,1.591
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3746,28,generator_specific,0,0,1,1.228
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3749,27,generator_specific,0,0,1,1.532
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3753,28,generator_specific,-6,1,1,0.264
harris,cxx_default_on_emitted_cpp,cxx_add_to_sub,harris.halide_generated.cpp,3756,28,generator_specific,-11,1,1,0.267
