app,arm,mutator,file,line,column,stage2,stmt_differs,effective,stage3,o1,o2,killed,exit_code,wall_seconds,note
blur,schedule,Halide_compute_at_to_store_at,halide_blur_generator.cpp,109,18,GEN_ERROR,,0,OK,NOT_RUN,NOT_RUN,0,,0.00,killed at generation time
blur,schedule,Halide_parallel_to_unroll,halide_blur_generator.cpp,105,18,GEN_ERROR,,0,OK,NOT_RUN,NOT_RUN,0,,0.00,killed at generation time
blur,schedule,Halide_parallel_to_vectorize,halide_blur_generator.cpp,105,18,GEN_ERROR,,0,OK,NOT_RUN,NOT_RUN,0,,0.00,killed at generation time
blur,schedule,Halide_parallel_to_unroll,halide_blur_generator.cpp,92,18,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
blur,schedule,Halide_parallel_to_vectorize,halide_blur_generator.cpp,92,18,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
blur,schedule,Halide_compute_at_to_store_at,halide_blur_generator.cpp,53,24,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
blur,schedule,Halide_compute_at_to_store_at,halide_blur_generator.cpp,96,18,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
blur,schedule,Halide_store_at_to_compute_at,halide_blur_generator.cpp,95,18,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
blur,schedule,Halide_unroll_to_parallel,halide_blur_generator.cpp,65,22,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
blur,schedule,Halide_unroll_to_vectorize,halide_blur_generator.cpp,65,22,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
blur,schedule,Halide_unroll_to_vectorize,halide_blur_generator.cpp,76,22,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
blur,schedule,Halide_unroll_to_parallel,halide_blur_generator.cpp,76,22,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
blur,schedule,Halide_vectorize_to_parallel,halide_blur_generator.cpp,106,18,GEN_ERROR,,0,OK,NOT_RUN,NOT_RUN,0,,0.00,killed at generation time
