app,arm,mutator,file,line,column,stage2,stmt_differs,effective,stage3,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,exit_code,wall_seconds,note
conv_layer,arithmetic,Halide_add_to_mul,conv_layer_generator.cpp,25,69,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,1.98,emitted header differs from baseline; driver recompiled
conv_layer,arithmetic,Halide_add_to_div,conv_layer_generator.cpp,25,78,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,2.99,emitted header differs from baseline; driver recompiled
conv_layer,arithmetic,Halide_add_to_div,conv_layer_generator.cpp,25,69,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,3.82,emitted header differs from baseline; driver recompiled
conv_layer,arithmetic,Halide_add_to_mul,conv_layer_generator.cpp,25,78,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,1.29,emitted header differs from baseline; driver recompiled
conv_layer,arithmetic,Halide_add_to_sub,conv_layer_generator.cpp,25,69,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,1.98,emitted header differs from baseline; driver recompiled
conv_layer,arithmetic,Halide_add_to_sub,conv_layer_generator.cpp,25,78,OK,1,1,OK,KILLED,KILLED,NOT_RUN,NOT_RUN,test1_demo;test2_golden,1,-6,1.23,emitted header differs from baseline; driver recompiled
conv_layer,arithmetic,Halide_mul_to_add,conv_layer_generator.cpp,25,54,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,130.69,emitted header differs from baseline; driver recompiled
conv_layer,arithmetic,Halide_mul_to_sub,conv_layer_generator.cpp,25,54,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,129.30,emitted header differs from baseline; driver recompiled
conv_layer,arithmetic,Halide_mul_to_div,conv_layer_generator.cpp,25,54,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,193.35,emitted header differs from baseline; driver recompiled
conv_layer,generated,Halide_max_to_min,conv_layer_generator.cpp,27,28,OK,1,1,OK,SURVIVED,SURVIVED,NOT_RUN,NOT_RUN,,0,0,70.40,emitted header differs from baseline; driver recompiled
