app,arm,mutator,file,line,column,stage2,stmt_differs,effective,stage3,o1,o2,killed,exit_code,wall_seconds,note
harris,schedule,Halide_compute_at_to_store_at,harris_generator.cpp,87,22,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
harris,schedule,Halide_compute_at_to_store_at,harris_generator.cpp,91,20,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
harris,schedule,Halide_compute_at_to_store_at,harris_generator.cpp,81,22,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
harris,schedule,Halide_compute_at_to_store_at,harris_generator.cpp,94,20,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
harris,schedule,Halide_compute_at_to_store_at,harris_generator.cpp,115,22,GEN_ERROR,,0,OK,NOT_RUN,NOT_RUN,0,,0.00,killed at generation time
harris,schedule,Halide_compute_at_to_store_at,harris_generator.cpp,118,22,GEN_ERROR,,0,OK,NOT_RUN,NOT_RUN,0,,0.00,killed at generation time
harris,schedule,Halide_compute_at_to_store_at,harris_generator.cpp,121,22,GEN_ERROR,,0,OK,NOT_RUN,NOT_RUN,0,,0.00,killed at generation time
harris,schedule,Halide_parallel_to_unroll,harris_generator.cpp,112,22,GEN_ERROR,,0,OK,NOT_RUN,NOT_RUN,0,,0.00,killed at generation time
harris,schedule,Halide_parallel_to_vectorize,harris_generator.cpp,112,22,GEN_ERROR,,0,OK,NOT_RUN,NOT_RUN,0,,0.00,killed at generation time
harris,schedule,Halide_compute_at_to_store_at,harris_generator.cpp,99,22,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
harris,schedule,Halide_compute_at_to_store_at,harris_generator.cpp,104,22,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
harris,schedule,Halide_store_at_to_compute_at,harris_generator.cpp,114,22,OK,1,1,OK,SURVIVED,SURVIVED,0,0,1.27,emitted header differs from baseline; driver recompiled
harris,schedule,Halide_unroll_to_parallel,harris_generator.cpp,80,22,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
harris,schedule,Halide_store_at_to_compute_at,harris_generator.cpp,117,20,OK,1,1,OK,KILLED,KILLED,1,-6,2.08,emitted header differs from baseline; driver recompiled
harris,schedule,Halide_unroll_to_parallel,harris_generator.cpp,84,22,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
harris,schedule,Halide_store_at_to_compute_at,harris_generator.cpp,120,20,OK,1,1,OK,KILLED,KILLED,1,-6,2.67,emitted header differs from baseline; driver recompiled
harris,schedule,Halide_unroll_to_parallel,harris_generator.cpp,85,22,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
harris,schedule,Halide_unroll_to_parallel,harris_generator.cpp,89,22,OK,0,0,OK,NOT_RUN,NOT_RUN,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
