app,arm,mutator,file,line,column,stage2,stmt_differs,effective,stage3,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,exit_code,wall_seconds,note
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,8,55,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.64,emitted header differs from baseline; driver recompiled
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,8,42,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.01,emitted header differs from baseline; driver recompiled
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,8,28,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.91,emitted header differs from baseline; driver recompiled
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,8,60,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.32,emitted header differs from baseline; driver recompiled
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,9,34,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.65,emitted header differs from baseline; driver recompiled
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,9,24,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.65,emitted header differs from baseline; driver recompiled
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,9,43,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.14,emitted header differs from baseline; driver recompiled
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,9,48,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.89,emitted header differs from baseline; driver recompiled
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,10,16,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.39,emitted header differs from baseline; driver recompiled
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,10,34,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.53,emitted header differs from baseline; driver recompiled
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,10,28,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.94,emitted header differs from baseline; driver recompiled
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,10,42,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.59,emitted header differs from baseline; driver recompiled
harris,arithmetic,Halide_add_to_div,harris_generator.cpp,10,48,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.85,emitted header differs from baseline; driver recompiled
