app,arm,mutator,file,line,column,stage2,stmt_differs,effective,stage3,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,exit_code,wall_seconds,note
hist,select_clamp,Halide_clamp_swap_bounds,hist_generator.cpp,32,30,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.04,emitted header differs from baseline; driver recompiled
hist,select_clamp,Halide_clamp_swap_bounds,hist_generator.cpp,46,28,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,5.78,emitted header differs from baseline; driver recompiled
hist,select_clamp,Halide_clamp_swap_bounds,hist_generator.cpp,49,20,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,4.40,emitted header differs from baseline; driver recompiled
hist,select_clamp,Halide_clamp_swap_bounds,hist_generator.cpp,51,23,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,8.11,emitted header differs from baseline; driver recompiled
hist,select_clamp,Halide_clamp_swap_bounds,hist_generator.cpp,53,24,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,6.42,emitted header differs from baseline; driver recompiled
hist,select_clamp,Halide_clamp_swap_bounds,hist_generator.cpp,52,25,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,5.39,emitted header differs from baseline; driver recompiled
hist,schedule,Halide_compute_at_to_store_at,hist_generator.cpp,103,26,OK,0,0,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
hist,schedule,Halide_compute_at_to_store_at,hist_generator.cpp,123,26,OK,0,0,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
hist,schedule,Halide_compute_at_to_store_at,hist_generator.cpp,91,26,OK,0,0,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
hist,schedule,Halide_compute_at_to_store_at,hist_generator.cpp,140,30,OK,0,0,OK,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,,0,,0.00,equivalent at this target (emitted .stmt unchanged); stages 3-4 skipped
