app,arm,mutator,file,line,column,stage2,stmt_differs,effective,stage3,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,exit_code,wall_seconds,note
interpolate,arithmetic,Halide_add_to_div,interpolate_generator.cpp,67,65,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,1.84,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_div,interpolate_generator.cpp,64,58,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.11,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_div,interpolate_generator.cpp,49,56,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.25,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_div,interpolate_generator.cpp,54,69,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.22,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_div,interpolate_generator.cpp,50,59,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.14,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_div,interpolate_generator.cpp,53,66,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.18,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_div,interpolate_generator.cpp,61,62,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.30,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_mul,interpolate_generator.cpp,54,69,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.79,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_mul,interpolate_generator.cpp,50,59,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.98,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_div,interpolate_generator.cpp,63,65,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.00,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_mul,interpolate_generator.cpp,51,45,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.34,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_div,interpolate_generator.cpp,60,72,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,2.96,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_div,interpolate_generator.cpp,55,58,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.37,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_mul,interpolate_generator.cpp,49,56,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.16,emitted header differs from baseline; driver recompiled
interpolate,arithmetic,Halide_add_to_div,interpolate_generator.cpp,51,45,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,3.58,emitted header differs from baseline; driver recompiled
