app,arm,mutator,file,line,column,stage2,stmt_differs,effective,stage3,test1_demo,test2_golden,test2_written,test3_perf,killed_by,killed,exit_code,wall_seconds,note
wavelet,arithmetic,Halide_div_to_add,haar_x_generator.cpp,19,66,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.20,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_div_to_sub,haar_x_generator.cpp,19,66,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.21,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_add_to_mul,haar_x_generator.cpp,19,55,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.50,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_add_to_div,haar_x_generator.cpp,19,55,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.51,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_add_to_div,haar_x_generator.cpp,18,44,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.62,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_add_to_mul,haar_x_generator.cpp,18,44,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.70,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_add_to_div,haar_x_generator.cpp,18,55,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.72,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_add_to_mul,haar_x_generator.cpp,18,55,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.72,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_mul_to_add,haar_x_generator.cpp,19,51,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.75,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_div_to_mul,haar_x_generator.cpp,19,66,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.78,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_mul_to_add,haar_x_generator.cpp,19,36,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.75,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_add_to_sub,haar_x_generator.cpp,18,55,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.83,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_add_to_sub,haar_x_generator.cpp,18,44,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.84,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_add_to_sub,haar_x_generator.cpp,19,55,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.83,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_mul_to_add,haar_x_generator.cpp,18,36,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.84,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_mul_to_add,haar_x_generator.cpp,18,51,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.85,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_mul_to_div,haar_x_generator.cpp,18,36,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.86,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_mul_to_div,haar_x_generator.cpp,18,51,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.85,emitted header differs from baseline; driver recompiled
wavelet,arithmetic,Halide_mul_to_div,haar_x_generator.cpp,19,36,OK,1,1,OK,SURVIVED,KILLED,NOT_RUN,NOT_RUN,test2_golden,1,0,0.72,emitted header differs from baseline; driver recompiled
