app,mutator,file,line,col,stage2,build_ok,baseline_median_s,baseline_iqr_s,baseline_n,mutant_median_s,mutant_iqr_s,mutant_n,early_stop,any_timeout,delta_s,delta_pct,threshold_s,o3_verdict,baseline_maxrss_kb,mutant_maxrss_kb,rss_delta_pct,baseline_stmt_lines,mutant_stmt_lines,stmt_lines_differ,baseline_vecinsn,mutant_vecinsn,vecinsn_differ,baseline_text_bytes,mutant_text_bytes,text_bytes_delta_pct,note,_src
depthwise_separable_conv,Halide_unroll_to_parallel,depthwise_separable_conv_generator.cpp,241,18,OK,1,0.38100,0.11361,21,0.82137,0.37453,9,,,0.44037,115.58,0.34083,KILLED_O3,18432,20480,11.11,672,702,1,6054,5768,1,131032,130680,-0.27,,results-A.csv
depthwise_separable_conv,Halide_unroll_to_parallel,depthwise_separable_conv_generator.cpp,242,18,OK,1,0.38100,0.11361,21,0.78950,0.31626,9,,,0.40850,107.22,0.34083,KILLED_O3,18432,20480,11.11,672,682,1,6054,5830,1,131032,131128,0.07,,results-A.csv
depthwise_separable_conv,Halide_unroll_to_parallel,depthwise_separable_conv_generator.cpp,248,18,OK,1,0.38100,0.11361,21,0.95190,0.51973,9,,,0.57090,149.84,0.34083,KILLED_O3,18432,20480,11.11,672,712,1,6054,5876,1,131032,131352,0.24,,results-A.csv
depthwise_separable_conv,Halide_unroll_to_parallel,depthwise_separable_conv_generator.cpp,249,18,OK,1,0.38100,0.11361,21,0.72346,0.33235,9,,,0.34246,89.88,0.34083,KILLED_O3,18432,20480,11.11,672,690,1,6054,5876,1,131032,130872,-0.12,,results-A.csv
depthwise_separable_conv,Halide_unroll_to_parallel,depthwise_separable_conv_generator.cpp,253,18,OK,1,0.38100,0.11361,21,2.96754,0.86227,9,,,2.58654,678.88,0.34083,KILLED_O3,18432,20480,11.11,672,744,1,6054,5368,1,131032,129688,-1.03,,results-A.csv
depthwise_separable_conv,Halide_unroll_to_parallel,depthwise_separable_conv_generator.cpp,254,18,OK,1,0.38100,0.11361,21,0.99545,0.07627,9,,,0.61445,161.27,0.34083,KILLED_O3,18432,20480,11.11,672,705,1,6054,5422,1,131032,128504,-1.93,,results-A.csv
depthwise_separable_conv,Halide_unroll_to_parallel,depthwise_separable_conv_generator.cpp,263,18,OK,1,0.38100,0.11361,21,0.92637,0.28940,9,,,0.54537,143.14,0.34083,KILLED_O3,18432,20480,11.11,672,714,1,6054,5630,1,131032,131192,0.12,,results-A.csv
depthwise_separable_conv,Halide_unroll_to_parallel,depthwise_separable_conv_generator.cpp,264,18,OK,1,0.38100,0.11361,21,0.98356,0.39049,9,,,0.60256,158.15,0.34083,KILLED_O3,18432,20480,11.11,672,690,1,6054,5622,1,131032,130904,-0.10,,results-A.csv
depthwise_separable_conv,Halide_unroll_to_parallel,depthwise_separable_conv_generator.cpp,268,18,OK,1,0.38100,0.11361,21,1.81516,0.51150,9,,,1.43416,376.42,0.34083,KILLED_O3,18432,20480,11.11,672,744,1,6054,4614,1,131032,125976,-3.86,,results-A.csv
depthwise_separable_conv,Halide_unroll_to_parallel,depthwise_separable_conv_generator.cpp,269,18,OK,1,0.38100,0.11361,21,0.83962,0.15516,9,,,0.45862,120.37,0.34083,KILLED_O3,18432,20480,11.11,672,701,1,6054,4382,1,131032,123480,-5.76,,results-A.csv
